pid,product_name,brand,product_url,retail_price,discounted_price,product_rating
CAGDYPBWA7RBUBYT,Zeva Keepz U On Gift Set  Combo Set,,http://www.flipkart.com/zeva-keepz-u-gift-set-combo/p/itmdypbwwbeesrr2?pid=CAGDYPBWA7RBUBYT,130,79,5.0
CAGDYPBWA7RBUBYT,Zeva Keepz U On Gift Set  Combo Set,,http://www.flipkart.com/zeva-keepz-u-gift-set-combo/p/itmdypbwwbeesrr2?pid=CAGDYPBWA7RBUBYT,130,79,5.0
TSHEDMWXJYJCZQ9Y,Max T-Shirt,Max,http://www.flipkart.com/max-t-shirt/p/itmedmwxaxgw5q7e?pid=TSHEDMWXJYJCZQ9Y,149,79,5.0
PAEE8AHWJWMDAXZU,Agricart African Marigold Vanilla F1- White Seed,Agricart,http://www.flipkart.com/agricart-african-marigold-vanilla-f1-white-seed/p/itme8ahwjhufghyc?pid=PAEE8AHWJWMDAXZU,150,79,5.0
WBTDMEZTDSZGZEDJ,Milton School 750 ml Water Bottle,,http://www.flipkart.com/milton-school-750-ml-water-bottle/p/itmdmeztreach7hh?pid=WBTDMEZTDSZGZEDJ,184,79,5.0
PBXE4RB3Y3GXWPFV,Outshiny Eagle Printed Art Polyester Pencil Box,,http://www.flipkart.com/outshiny-eagle-printed-art-polyester-pencil-box/p/itme4rb3qywe3nfw?pid=PBXE4RB3Y3GXWPFV,199,99,5.0
PBXE4RB3Y3GXWPFV,Outshiny Eagle Printed Art Polyester Pencil Box,,http://www.flipkart.com/outshiny-eagle-printed-art-polyester-pencil-box/p/itme4rb3qywe3nfw?pid=PBXE4RB3Y3GXWPFV,199,99,5.0
BRAE6Z79P4B94Y4T,Vaishna Fashion Women's Full Coverage Bra,White,http://www.flipkart.com/vaishna-fashion-women-s-full-coverage-bra/p/itme6z79fxhrkwtz?pid=BRAE6Z79P4B94Y4T,230,99,5.0
NKCDSXA5G2KQYSAS,Hi Look Alloy Necklace,Hi Look,http://www.flipkart.com/hi-look-alloy-necklace/p/itmdsxagwjejyxyu?pid=NKCDSXA5G2KQYSAS,245,120,5.0
NKCDSXA5G2KQYSAS,Hi Look Alloy Necklace,Hi Look,http://www.flipkart.com/hi-look-alloy-necklace/p/itmdsxagwjejyxyu?pid=NKCDSXA5G2KQYSAS,245,120,5.0
NKCDSXA5G2KQYSAS,Hi Look Alloy Necklace,Hi Look,http://www.flipkart.com/hi-look-alloy-necklace/p/itmdsxagwjejyxyu?pid=NKCDSXA5G2KQYSAS,245,120,5.0
NKCDSXA5G2KQYSAS,Hi Look Alloy Necklace,Hi Look,http://www.flipkart.com/hi-look-alloy-necklace/p/itmdsxagwjejyxyu?pid=NKCDSXA5G2KQYSAS,245,120,5.0
LSKE99UKDTDN7HBM,Elfani Brilliance Lip Color 127 Brick Red 3.5 g,,http://www.flipkart.com/elfani-brilliance-lip-color-127-brick-red-3-5-g/p/itme99ukeqkbh9gx?pid=LSKE99UKDTDN7HBM,255,120,5.0
SBSDUTY7AZYZWSQS,Bosch 2 607 001 531 Extra Hard Screwdriver Bit Set,Bosch,http://www.flipkart.com/bosch-2-607-001-531-extra-hard-screwdriver-bit-set/p/itmdv9u9srszvrae?pid=SBSDUTY7AZYZWSQS,277,120,5.0
SNRE53FVWSRGRGS7,Lotus Sun Block Cream - SPF 30 PA++,,http://www.flipkart.com/lotus-sun-block-cream-spf-30-pa/p/itme53fvmzag2yd9?pid=SNRE53FVWSRGRGS7,295,125,5.0
SNRE53FVWSRGRGS7,Lotus Sun Block Cream - SPF 30 PA++,,http://www.flipkart.com/lotus-sun-block-cream-spf-30-pa/p/itme53fvmzag2yd9?pid=SNRE53FVWSRGRGS7,295,125,5.0
SNRE53FVWSRGRGS7,Lotus Sun Block Cream - SPF 30 PA++,,http://www.flipkart.com/lotus-sun-block-cream-spf-30-pa/p/itme53fvmzag2yd9?pid=SNRE53FVWSRGRGS7,295,125,5.0
SNRE53FVWSRGRGS7,Lotus Sun Block Cream - SPF 30 PA++,,http://www.flipkart.com/lotus-sun-block-cream-spf-30-pa/p/itme53fvmzag2yd9?pid=SNRE53FVWSRGRGS7,295,125,5.0
SNRE53FVWSRGRGS7,Lotus Sun Block Cream - SPF 30 PA++,,http://www.flipkart.com/lotus-sun-block-cream-spf-30-pa/p/itme53fvmzag2yd9?pid=SNRE53FVWSRGRGS7,295,125,5.0
PCSDY5AFGFAQNCY9,Joy Living Garden Plant Container Set,Joy Living,http://www.flipkart.com/joy-living-garden-plant-container-set/p/itmdy5axbysksehd?pid=PCSDY5AFGFAQNCY9,300,125,5.0
PCSE4FKCZ23EPQFS,Natures Plus Home Garden Plant Container Set,Natures Plus,http://www.flipkart.com/natures-plus-home-garden-plant-container-set/p/itme4fkcxwzbtt6j?pid=PCSE4FKCZ23EPQFS,300,125,5.0
